series_id,station_id,id_config,codigo_estacion,nombre_estacion,tipo_dato,variable,variable_original,unidad,operador,tipo_estacion,latitud,longitud,altitud_msnm,aaa,ala,ambito_politico,ambito_administrativo,unidad_hidrografica,nombre_fuente,carpeta_cuenca,expected_obs_day,expected_obs_day_label,expected_obs_day_inferido,archivo_fuente,archivo_long_rds,fuente_validacion,accion_rescate
Caudal|212500|IDConfig_2925,Caudal|212500,2925,212500,Agua Azul Bocatoma,Caudal,Caudal Instantáneo,Caudal Instantáneo (m³/s),m³/s,Consorcio Agua Azul S.A.,Automática / Hidrométrica,-11.807778,-76.997664,350,Cañete Fortaleza,Chillon Rimac Lurin,Dpto: Lima / Prov: Lima / Dist.: Carabayllo,AAA: Cañete Fortaleza / ALA: Chillon Rimac Lurin,Cuenca Chillón,Río: Chillón,137556_Cuenca_Chillon,1,,1,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/137556_Cuenca_Chillon/_raw_reportes_xlsx/IDConfig_2925_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/137556_Cuenca_Chillon/IDConfig_2925.rds,03_manifest_xlsx.csv,REUTILIZADO_SIN_CAMBIOS
Caudal|212500|IDConfig_3588,Caudal|212500,3588,212500,Agua Azul Bocatoma,Caudal,Caudal Promedio Diario,Caudal Promedio Diario (m³/s),m³/s,Consorcio Agua Azul S.A.,Automática / Hidrométrica,-11.807778,-76.997664,350,Cañete Fortaleza,Chillon Rimac Lurin,Dpto: Lima / Prov: Lima / Dist.: Carabayllo,AAA: Cañete Fortaleza / ALA: Chillon Rimac Lurin,Cuenca Chillón,Río: Chillón,137556_Cuenca_Chillon,1,,1,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/137556_Cuenca_Chillon/_raw_reportes_xlsx/IDConfig_3588_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/137556_Cuenca_Chillon/IDConfig_3588.rds,03_manifest_xlsx.csv,REUTILIZADO_SIN_CAMBIOS
Caudal|204704|IDConfig_107,Caudal|204704,107,204704,Aguada Blanca,Caudal,Caudal Promedio Diario,Caudal Promedio Diario (m³/s),m³/s,Servicio Nacional Meteorología E Hidrología,Convencional / Hidrométrica,-16.250277,-71.333611,3725,Caplina Ocoña,Chili,Dpto: Arequipa / Prov: Arequipa / Dist.: San Juan De Tarucani,AAA: Caplina Ocoña / ALA: Chili,Cuenca Quilca - Vitor - Chili,Río: Chili,132_Cuenca_Quilca_-_Vitor_-_Chili,1,,1,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/132_Cuenca_Quilca_-_Vitor_-_Chili/_raw_reportes_xlsx/IDConfig_107_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/132_Cuenca_Quilca_-_Vitor_-_Chili/IDConfig_107.rds,03_manifest_xlsx.csv,REUTILIZADO_SIN_CAMBIOS
Caudal|204704|IDConfig_3037,Caudal|204704,3037,204704,Aguada Blanca,Caudal,Caudal Promedio Mensual,Caudal Promedio Mensual (m³/s),m³/s,Autoridad Autonoma De Majes,Convencional / Hidrométrica,-16.250277,-71.333611,3725,Caplina Ocoña,Chili,Dpto: Arequipa / Prov: Arequipa / Dist.: San Juan De Tarucani,AAA: Caplina Ocoña / ALA: Chili,Cuenca Quilca - Vitor - Chili,Río: Chili,132_Cuenca_Quilca_-_Vitor_-_Chili,1,,1,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/132_Cuenca_Quilca_-_Vitor_-_Chili/_raw_reportes_xlsx/IDConfig_3037_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/132_Cuenca_Quilca_-_Vitor_-_Chili/IDConfig_3037.rds,03_manifest_xlsx.csv,REUTILIZADO_SIN_CAMBIOS
Caudal|47E0D438|IDConfig_76,Caudal|47E0D438,76,47E0D438,Alamor,Caudal,Caudal Instantáneo 1 Hora,Caudal Instantáneo 1 Hora (m³/s),m³/s,Servicio Nacional Meteorología E Hidrología,Automática / Hidrométrica,-4.477489,-80.397894,116,Jequetepeque Zarumilla,Chira,Dpto: Piura / Prov: Sullana / Dist.: Lancones,AAA: Jequetepeque Zarumilla / ALA: Chira,Cuenca Chira,Río: Alamor,138_Cuenca_Chira,24,24,24,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/138_Cuenca_Chira/_raw_reportes_xlsx/IDConfig_76_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/138_Cuenca_Chira/IDConfig_76.rds,03_manifest_xlsx.csv,REFRESCADO_LIVE
Caudal|200322|IDConfig_7231,Caudal|200322,7231,200322,Alamor,Caudal,Caudal Promedio Diario,Caudal Promedio Diario (m³/s),m³/s,Servicio Nacional Meteorología E Hidrología,Convencional / Hidrométrica,-4.474008,-80.399153,127,Jequetepeque Zarumilla,Chira,Dpto: Piura / Prov: Sullana / Dist.: Lancones,AAA: Jequetepeque Zarumilla / ALA: Chira,Cuenca Chira,Río: Alamor,138_Cuenca_Chira,1,,1,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/138_Cuenca_Chira/_raw_reportes_xlsx/IDConfig_7231_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/138_Cuenca_Chira/IDConfig_7231.rds,03_manifest_xlsx.csv,REUTILIZADO_SIN_CAMBIOS
Caudal|47E0D438|IDConfig_63115,Caudal|47E0D438,63115,47E0D438,Alamor,Caudal,Caudal Promedio Diario,Caudal Promedio Diario (m³/s),m³/s,Servicio Nacional Meteorología E Hidrología,Automática / Hidrométrica,-4.477489,-80.397894,116,Jequetepeque Zarumilla,Chira,Dpto: Piura / Prov: Sullana / Dist.: Lancones,AAA: Jequetepeque Zarumilla / ALA: Chira,Cuenca Chira,Río: Alamor,138_Cuenca_Chira,1,,1,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/138_Cuenca_Chira/_raw_reportes_xlsx/IDConfig_63115_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/138_Cuenca_Chira/IDConfig_63115.rds,03_manifest_xlsx.csv,REFRESCADO_LIVE
Caudal|PHISIS0071|IDConfig_64934,Caudal|PHISIS0071,64934,PHISIS0071,Alamor,Caudal,Caudal Promedio Diario,Caudal Promedio Diario (m³/s),m³/s,Servicio Nacional Meteorología E Hidrología,Punto Monitoreo / Hidrométrica,-4.47749,-80.39788,,Jequetepeque Zarumilla,Chira,Dpto: Piura / Prov: Sullana / Dist.: Lancones,AAA: Jequetepeque Zarumilla / ALA: Chira,Cuenca Chira,Río: Alamor,138_Cuenca_Chira,1,,1,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/138_Cuenca_Chira/_raw_reportes_xlsx/IDConfig_64934_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/138_Cuenca_Chira/IDConfig_64934.rds,03_manifest_xlsx.csv,REFRESCADO_LIVE
Caudal|PHISIS0071|IDConfig_65028,Caudal|PHISIS0071,65028,PHISIS0071,Alamor,Caudal,Caudal Promedio Horario,Caudal Promedio Horario (m³/s),m³/s,Servicio Nacional Meteorología E Hidrología,Punto Monitoreo / Hidrométrica,-4.47749,-80.39788,,Jequetepeque Zarumilla,Chira,Dpto: Piura / Prov: Sullana / Dist.: Lancones,AAA: Jequetepeque Zarumilla / ALA: Chira,Cuenca Chira,Río: Alamor,138_Cuenca_Chira,24,,24,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/138_Cuenca_Chira/_raw_reportes_xlsx/IDConfig_65028_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/138_Cuenca_Chira/IDConfig_65028.rds,03_manifest_xlsx.csv,REFRESCADO_LIVE
Caudal|PHISIS0071|IDConfig_67593,Caudal|PHISIS0071,67593,PHISIS0071,Alamor,Caudal,Caudal Máximo Diario,Caudal Máximo Diario (m³/s),m³/s,Servicio Nacional Meteorología E Hidrología,Punto Monitoreo / Hidrométrica,-4.47749,-80.39788,,Jequetepeque Zarumilla,Chira,Dpto: Piura / Prov: Sullana / Dist.: Lancones,AAA: Jequetepeque Zarumilla / ALA: Chira,Cuenca Chira,Río: Alamor,138_Cuenca_Chira,1,,1,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/138_Cuenca_Chira/_raw_reportes_xlsx/IDConfig_67593_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/138_Cuenca_Chira/IDConfig_67593.rds,03_manifest_xlsx.csv,REFRESCADO_LIVE
Caudal|PHISIS0071|IDConfig_67694,Caudal|PHISIS0071,67694,PHISIS0071,Alamor,Caudal,Caudal Mínimo Diario,Caudal Mínimo Diario (m³/s),m³/s,Servicio Nacional Meteorología E Hidrología,Punto Monitoreo / Hidrométrica,-4.47749,-80.39788,,Jequetepeque Zarumilla,Chira,Dpto: Piura / Prov: Sullana / Dist.: Lancones,AAA: Jequetepeque Zarumilla / ALA: Chira,Cuenca Chira,Río: Alamor,138_Cuenca_Chira,1,,1,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/138_Cuenca_Chira/_raw_reportes_xlsx/IDConfig_67694_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/138_Cuenca_Chira/IDConfig_67694.rds,03_manifest_xlsx.csv,REFRESCADO_LIVE
Caudal|202613|IDConfig_104,Caudal|202613,104,202613,Alco,Caudal,Caudal Promedio Diario,Caudal Promedio Diario (m³/s),m³/s,Statkraft Peru S.A.,Convencional / Hidrométrica,-11.041891,-77.114488,1000,Cañete Fortaleza,Huaura,Dpto: Lima / Prov: Huaura / Dist.: Sayan,AAA: Cañete Fortaleza / ALA: Huaura,Cuenca Huaura,Río: Huaura,13756_Cuenca_Huaura,1,,1,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/13756_Cuenca_Huaura/_raw_reportes_xlsx/IDConfig_104_completo.xlsx,E:/BASE DE DATOS/ANA_SNIRH_PIPELINE/_state/_SERIES_VALIDAS/_01_normalizado/series_long/13756_Cuenca_Huaura/IDConfig_104.rds,03_manifest_xlsx.csv,REUTILIZADO_SIN_CAMBIOS
