CodigoUH,cuenca,area_km2,pIdVariable,tematica,bloque_grafico2,bloque_titulo,fila_tabla,n_orden_ana,nombre_estacion,codigo_estacion,latitud,longitud,estado_tipo,fuente_natural,ultimo_dato,valor_ultimo,unidad,pIDMapa,IDRegistro,ya_estaba_en_pre_v8,match_pre_v8
13718,Cuenca Acarí,4293.0766,21,HidrometrC-a,1,Cuadro N° 01: Distribución de Estaciones Hidrométricas en la Cuenca Acarí,2,1,La Joya,203903,-15.328,-74.5846,Funcionamiento Convencional,Río Acarí,31-10-2019 00:00,0.42,m³/s,31,120,FALSE,
13718,Cuenca Acarí,4293.0766,21,HidrometrC-a,1,Cuadro N° 01: Distribución de Estaciones Hidrométricas en la Cuenca Acarí,3,2,Cecchapampa,203902,-14.8167,-74,Cerrado Convencional,Río Jechca,03-03-1977 00:00,13.39,m³/s,31,243,FALSE,
13718,Cuenca Acarí,4293.0766,21,HidrometrC-a,1,Cuadro N° 01: Distribución de Estaciones Hidrométricas en la Cuenca Acarí,4,3,Palcachacra,203901,-14.55,-74.2833,Cerrado Convencional,Río Iruro,31-12-1973 00:00,8.06,m³/s,31,995,FALSE,
13718,Cuenca Acarí,4293.0766,22,PluviometrC-a,1,Cuadro N° 01: Distribución de Estaciones Pluviométricas,2,1,Lucanas,157206,-14.62,-74.2322,Funcionamiento Convencional,,31-12-2024 00:00,15.3,mm,266,837,FALSE,
13718,Cuenca Acarí,4293.0766,22,PluviometrC-a,1,Cuadro N° 01: Distribución de Estaciones Pluviométricas,3,2,Puquio,000736,-14.6989,-74.1311,Funcionamiento Convencional,,31-12-2024 00:00,4.6,mm,266,1251,FALSE,
13718,Cuenca Acarí,4293.0766,22,PluviometrC-a,1,Cuadro N° 01: Distribución de Estaciones Pluviométricas,4,3,Acari,000733,-15.4,-74.6167,Cerrado Convencional,,31-05-1985 19:00,0,mm,266,3,FALSE,
13718,Cuenca Acarí,4293.0766,22,PluviometrC-a,1,Cuadro N° 01: Distribución de Estaciones Pluviométricas,5,4,Cceccaña,157215,-14.6,-74,Cerrado Convencional,,30-04-1981 19:00,0,mm,266,242,FALSE,
13718,Cuenca Acarí,4293.0766,22,PluviometrC-a,1,Cuadro N° 01: Distribución de Estaciones Pluviométricas,6,5,Cecchapampa,000738,-14.8333,-74,Cerrado Convencional,,31-12-1982 19:00,0,mm,266,244,FALSE,
13718,Cuenca Acarí,4293.0766,22,PluviometrC-a,1,Cuadro N° 01: Distribución de Estaciones Pluviométricas,7,6,Cerro Condorillo,157209,-14.6,-74.2667,Cerrado Convencional,,31-07-1999 19:00,0,mm,266,247,FALSE,
13718,Cuenca Acarí,4293.0766,22,PluviometrC-a,1,Cuadro N° 01: Distribución de Estaciones Pluviométricas,8,7,Huarato,157203,-15.2833,-74.5667,Cerrado Convencional,,30-06-1990 19:00,0,mm,266,602,FALSE,
