"IDConfig","CodigoUH","carpeta_cuenca","archivo","ruta_relativa","tamano_bytes","tamano_kb","md5"
1094,"13154","13154_Cuenca_Hospicio","IDConfig_1094_completo.xlsx","13154_Cuenca_Hospicio/_raw_reportes_xlsx/IDConfig_1094_completo.xlsx",8042,7.85,"216a9ebbc6fed0c1b9da45a1022b7dd3"
3701,"13154","13154_Cuenca_Hospicio","IDConfig_3701_completo.xlsx","13154_Cuenca_Hospicio/_raw_reportes_xlsx/IDConfig_3701_completo.xlsx",63756,62.26,"149f8c1d07f031f601a6ab97bf23338f"
184,"13155","13155_Intercuenca_13155","IDConfig_184_completo.xlsx","13155_Intercuenca_13155/_raw_reportes_xlsx/IDConfig_184_completo.xlsx",133211,130.09,"f049bec1d0f3b8ef5dfc9a7bcfbcc8a0"
252,"13155","13155_Intercuenca_13155","IDConfig_252_completo.xlsx","13155_Intercuenca_13155/_raw_reportes_xlsx/IDConfig_252_completo.xlsx",26761,26.13,"3a7aaae36a82ebd8d057b68e666b972b"
387,"13155","13155_Intercuenca_13155","IDConfig_387_completo.xlsx","13155_Intercuenca_13155/_raw_reportes_xlsx/IDConfig_387_completo.xlsx",15415,15.05,"45ba0931d25d75536babf9fa81225506"
680,"13155","13155_Intercuenca_13155","IDConfig_680_completo.xlsx","13155_Intercuenca_13155/_raw_reportes_xlsx/IDConfig_680_completo.xlsx",3599,3.51,"a726fe3027951082ba38dc687f88a4f9"
969,"13155","13155_Intercuenca_13155","IDConfig_969_completo.xlsx","13155_Intercuenca_13155/_raw_reportes_xlsx/IDConfig_969_completo.xlsx",8953,8.74,"9f44301b159bd2f5fc927f3c851c7d96"
1106,"13155","13155_Intercuenca_13155","IDConfig_1106_completo.xlsx","13155_Intercuenca_13155/_raw_reportes_xlsx/IDConfig_1106_completo.xlsx",3559,3.48,"d5c00c6eef6525249992aad3e17bed7b"
1478,"13155","13155_Intercuenca_13155","IDConfig_1478_completo.xlsx","13155_Intercuenca_13155/_raw_reportes_xlsx/IDConfig_1478_completo.xlsx",3616,3.53,"79b5c6ef61918fc3557053075d8a67c7"
1862,"13155","13155_Intercuenca_13155","IDConfig_1862_completo.xlsx","13155_Intercuenca_13155/_raw_reportes_xlsx/IDConfig_1862_completo.xlsx",7290,7.12,"62c4437ceb7e542e7ed8caa116e5ea6c"
1937,"13155","13155_Intercuenca_13155","IDConfig_1937_completo.xlsx","13155_Intercuenca_13155/_raw_reportes_xlsx/IDConfig_1937_completo.xlsx",18640,18.2,"0ac26926a3808ec00809ef4021c9f400"
